예측유형,학교유형,학교명,SIG_KOR_NM,SIG_CD,년2023,년2024,년2025,년2026,년2027,년2028,년2029,년2030,년2031,년2032,년2033,년2034,년2035,년2036,년2037,년2038,년2039,년2040,년2041,년2042
무이동,초등학교,대구동도초등학교,수성구,27260,1365.659976,1343.976954,1249.630958,1169.110796,1071.952636,969.7659006,882.7966588,810.1992678,760.6135453,732.3447798,728.5133543,739.8125548,765.6973532,806.5854925,852.0162949,893.9356309,931.0691428,962.5256256,987.6799476,1003.094804
무이동,초등학교,대구칠성초등학교,북구,27230,1442.655256,1349.787219,1255.842104,1175.111431,1077.089487,973.4357456,885.3526502,813.213615,761.5321107,731.4318069,726.869587,737.579426,763.4167254,804.6410637,850.3291316,892.5577994,930.0367648,961.8536663,987.3574449,1003.550233
무이동,초등학교,대구성동초등학교,수성구,27260,1532.945022,1473.169609,1375.719536,1291.552454,1184.474487,1069.264631,971.2554706,890.8672698,832.7323621,797.7446881,789.2660604,797.2386673,823.4755509,868.058404,918.0440575,964.4509073,1005.849493,1041.20792,1069.764701,1088.421153
무이동,초등학교,대구용천초등학교,달서구,27290,1486.962943,1593.704201,1479.844661,1375.259127,1254.526116,1136.134309,1037.211743,955.0317449,898.4437171,870.7004859,871.9225794,891.893161,928.8084882,979.8773952,1033.77683,1083.077542,1126.308335,1162.477421,1190.918918,1207.359967
무이동,초등학교,대구유가초등학교,달성군,27710,1683.097587,1609.209778,1497.083108,1400.397482,1282.418691,1160.217459,1056.378204,970.3887221,910.7196282,878.1376947,874.4808691,888.418007,920.3197099,969.9370345,1024.388146,1074.569711,1118.958213,1156.503047,1186.454606,1204.649572
무이동,초등학교,대구동천초등학교,수성구,27260,1550.62829,1610.365109,1499.38479,1401.078021,1280.257151,1158.785707,1056.130315,971.1146036,912.1891301,882.6376298,880.8072915,896.1462979,930.07401,980.8241262,1035.374606,1085.495743,1129.675459,1166.894404,1196.419367,1213.794725
무이동,초등학교,대구경동초등학교,수성구,27260,1881.035954,1785.880682,1671.395478,1578.604302,1452.430776,1309.55071,1186.754029,1086.384237,1012.673334,965.5668192,950.2225652,953.2592155,979.6725292,1031.898207,1092.560567,1149.272359,1200.261902,1244.223835,1280.151071,1304.567378
저위,초등학교,경북대학교사범대학부설초등학교,중구,27110,534.3291095,497.2916926,463.877643,433.790136,396.8347855,358.7154136,326.4392939,295.869326,270.2878329,249.0303176,234.669746,224.5156406,218.9684516,221.3483049,226.9096064,233.5842639,239.1488709,243.4754609,246.5785236,247.8562737
저위,초등학교,계성초등학교,중구,27110,733.857665,691.5618716,644.3612298,600.2686908,547.8098368,495.5522703,451.7077975,409.633792,374.014486,344.7665239,325.2750707,312.3986538,306.5164484,310.6778193,318.7342637,327.8951136,335.4791293,341.3236672,345.4549976,346.9893362
저위,초등학교,남대구초등학교,남구,27200,140.5113657,168.0463534,155.4458054,144.7074079,132.2346922,120.0202088,109.7274673,99.09672531,90.33150582,83.58603141,79.7594968,77.39950864,76.26152033,77.32106537,79.21467979,81.37919597,83.1511998,84.49109713,85.41198654,85.61459046
저위,초등학교,대구가창초등학교,달성군,27710,169.4778554,164.139716,152.5379298,143.1842293,131.554962,118.8881371,108.0872769,98.02790713,89.35127456,82.17084791,77.70700361,74.38085844,72.19067111,72.74201487,74.44885152,76.6604606,78.51407252,79.96233467,81.00720455,81.46334945
저위,초등학교,대구감삼초등학교,달서구,27290,227.1705981,227.9917101,211.8025997,198.531494,182.2810726,164.9261738,150.0339108,135.7618818,124.0220436,114.1865054,107.9938736,103.6195531,100.7018553,101.5711122,103.9395067,106.992937,109.5439529,111.5289068,112.955203,113.5212674
저위,초등학교,대구감천초등학교,달서구,27290,310.7129378,271.0035869,253.3932868,238.0546193,218.2932118,196.9064434,178.7081464,162.3646939,148.1853955,136.1725933,127.9419318,121.4974677,117.6585419,118.5434315,121.4861403,125.2013022,128.330543,130.7977992,132.6010833,133.4984071
저위,초등학교,대구강동초등학교,동구,27140,1064.053482,987.7555149,922.1775804,866.9584136,795.5197609,718.4532214,652.3604352,591.3115921,540.0451487,497.041507,468.4434108,445.8803542,431.7597277,434.8315036,445.3363491,458.8037629,470.1237992,479.0178544,485.4949189,488.4625036
저위,초등학교,대구강림초등학교,달성군,27710,851.8049478,817.5501622,760.2369976,708.4861796,646.3946774,585.4410975,534.4340196,483.916877,441.0252652,407.7201491,387.0246951,372.8747007,366.8086525,371.8316337,381.4138816,392.1198125,400.9330918,407.664064,412.3569632,413.783917
저위,초등학교,대구강북초등학교,북구,27230,835.451606,747.8756404,697.6242521,656.9623931,604.2571501,545.4560329,495.1638097,448.6252365,409.4984376,376.8712679,355.017375,337.9652896,326.0548669,327.8601446,335.4658221,345.7076367,354.3500644,361.1627598,366.1540237,368.5367611
저위,초등학교,대구경동초등학교,수성구,27260,1881.035954,1785.880682,1671.395478,1578.604302,1452.430776,1309.55071,1186.754029,1075.973508,982.5005088,903.7636922,849.2923875,803.6032465,772.056492,774.9178048,793.0680008,817.8816787,838.9327985,855.6597081,868.0517603,874.471847
저위,초등학교,대구경운초등학교,서구,27170,513.8380289,463.8273954,434.0551189,408.0317866,374.0217495,337.6736956,306.9375114,277.8246041,253.6334247,234.2352898,220.5587263,209.8386816,203.263134,204.8218133,209.8577726,216.1839505,221.4962124,225.6604658,228.6907792,230.0454377
