A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2601, D391S,14.9,13.7,4.1,37, VB,8, 사내, 내업의장,20240226,,,,, 대조립(ASSEMBLY),20240227, A4, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D401P,17.5,13.7,4.1,37, 3J,11, 사내, 내업의장,20240223, 선행의장,20240219,20240222,, 대조립(ASSEMBLY),20240312, 52A, 판넬조립부대조립과,,
 SN2601, D401S,17.5,13.7,4.1,37, 3J,11, 사내, 내업의장,20240226, 조립,20240214,20240214,, 대조립(ASSEMBLY),20240312, 52B, 판넬조립부대조립과,20240215,
 SN2601, D411P,19.7,13.7,4.5,47, 3L,10, 사내, 내업의장,20240219, 선행의장,20240207,20240219,, 대조립(ASSEMBLY),20240307, 63B, 조립부조립2과,,
 SN2601, D411S,19.7,13.2,4.2,47, 3L,1, 사내, 내업의장,20240219, 선행의장,20240214,20240222,, 대조립(ASSEMBLY),20240307, 63B, 조립부조립2과,,
 SN2601, D510S,21.9,9.4,7,36, HND,27, 사내, 내업의장,20240216, 조립,20240118,20240118,, 올리기(BLOCK LIFT UP),20240221,,,20240202,
 SN2601, D520S,21.4,9.7,6.9,35, 3L,4, 사내, 내업의장,20240219, 선행의장,20240219,20240222,, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2601, D530S,21.8,10.5,7.6,36, OFD,1, 사내, 대조립(ASSEMBLY),20240216, 조립,20240216,20240215,, 내업의장,20240311, 3J, 선행의장부선행의장1과,20240217,
 SN2601, D620S,14.1,11.3,2.2,24, DK1,1, 사외, UNIT 의장,20240507, 도장,20240130,20240130,, 탑재(ERECTION),20240430, 3D, 건조2부건조2과,,
 SN2601, D710S,23,19.4,6.7,51, HSG2,1, 사외, 대조립(ASSEMBLY),20240214,,,, 17일, 내업의장,20240311, FC4, 해)선행의장부선행의장3과,,
 SN2601, D731S,13.7,6.7,1,11, DK2,1, 사외, 내업의장,20240208, 선행의장,20240216,20240219, 0일, 대조립(ASSEMBLY),20240223, 61A, 조립부조립1과,,
 SN2601, D732S,13.4,6.5,2.6,14, DK2,1, 사외, 내업의장,20240208, 선행의장,20240216,20240219, 0일, 대조립(ASSEMBLY),20240223, 61A, 조립부조립1과,,
 SN2601, D733S,13.3,6.7,2.6,14, DK2,1, 사외, 내업의장,20240208, 선행의장,20240207,20240207, 0일, 대조립(ASSEMBLY),20240223, 61A, 조립부조립1과,,
 SN2601, E11GS,51.4,16.7,8.3,0, HNB,6, 사내, PE(PRE-ERECTION),20240306,,,, 12일, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2601, E130P,14.1,8.5,8.5,4, HNC,2, 사내, 올리기(BLOCK LIFT UP),20240220,,,,,,,,,,
 SN2601, E21PP,25,13.4,5,0, HSG2,1, 사외, 도장(Paint),20240202,,,, 3일, TURN OVER,20240226,,,,
 SN2601, E21PS,25,13.4,5,0, HSG2,1, 사외, 도장(Paint),20240208,,,, 3일, TURN OVER,20240226,,,,
 SN2601, E230P,17,12.4,4.3,28, HNB,4, 사내, TURN OVER,20240220, 도장,20240131,20240131, -3일, PE(PRE-ERECTION),20240220, HN, 신한내건조부건조1과,,
 SN2601, E230S,17,12.4,4.3,28, HNB,4, 사내, TURN OVER,20240220,,,, -3일, PE(PRE-ERECTION),20240220, HN, 신한내건조부건조1과,,
 SN2601, E23GC,17.6,42.1,11.1,0, HNB,5, 사내, PE(PRE-ERECTION),20240314,,,, 21일, 올리기(BLOCK LIFT UP),20240315,,,,
 SN2601, E24PC,25,22.2,3.4,0, 3H,12, 사내, 도장(Paint),20240222,,,, 3일, TURN OVER,20240226,,,,
 SN2601, E310P,15,13.4,5,26, HA,9, 사내, 도장(Paint),20240220, 도장,20240222,20240222, 5일, TURN OVER,20240228,,,,
